jd,fnu_microJy,fnu_microJy_unc,passband,programid,fcqfid,zpdiff,sys_unc_factor,poor_conditions
2459263.9405903,6.129184618959488,5.000137590947098,ZTF_r,3,4780622,26.369,0.9871218263213513,0
2459263.9410648,6.717893504208311,4.384893801984767,ZTF_r,3,4780622,26.3666,0.9871218263213513,0
2459263.9415278,-1.2249558562326852,4.959372623466975,ZTF_r,3,4780622,26.3669,0.9871218263213513,0
2459263.9420023,-11.585194340196777,4.6070484899223905,ZTF_r,3,4780622,26.3645,0.9871218263213513,0
2459263.9424653,1.3134033068846895,4.6609428622587625,ZTF_r,3,4780622,26.362,0.9871218263213513,0
2459263.9429398,6.721349322623943,5.513505524431245,ZTF_r,3,4780622,26.3629,0.9871218263213513,0
2459263.9434144,-4.289137371376035,5.350567153850983,ZTF_r,3,4780622,26.363,0.9871218263213513,0
2459263.9438773,-1.9533496953949239,4.806656780040426,ZTF_r,3,4780622,26.3695,0.9871218263213513,0
2459263.9443519,-0.5056936935668636,5.166947971806722,ZTF_r,3,4780622,26.3706,0.9871218263213513,0
2459263.9448148,2.217204250343919,5.092550657610426,ZTF_r,3,4780622,26.3631,0.9871218263213513,0
2459263.9452894,-0.847772743891528,4.677647450429703,ZTF_r,3,4780622,26.3739,0.9871218263213513,0
2459263.9457523,0.02127415877289417,5.075050437051173,ZTF_r,3,4780622,26.36,0.9871218263213513,0
2459263.9462269,-1.7467620620619262,5.5293513012066535,ZTF_r,3,4780622,26.3799,0.9871218263213513,0
2459263.9466898,0.8245062552659348,5.5234392005466475,ZTF_r,3,4780622,26.3655,0.9871218263213513,0
2459263.9471644,-2.9817013985667886,5.021676148233048,ZTF_r,3,4780622,26.3729,0.9871218263213513,0
2459263.9476273,-8.523192652098587,5.611128661482381,ZTF_r,3,4780622,26.3703,0.9871218263213513,0
2459263.9481019,1.8042114160131386,5.175191737837066,ZTF_r,3,4780622,26.37,0.9871218263213513,0
2459263.9485764,3.1020036953358385,5.335269352650072,ZTF_r,3,4780622,26.3648,0.9871218263213513,0
2459263.9490394,-5.352287726206911,5.862238098150387,ZTF_r,3,4780622,26.3709,0.9871218263213513,0
2459263.9495139,2.624802629888017,6.012721008648645,ZTF_r,3,4780622,26.3526,0.9871218263213513,1
2459263.9499769,-0.13453083860144766,5.80625327930739,ZTF_r,3,4780622,26.3622,0.9871218263213513,0
2459263.9504514,-5.844790638871406,5.808735710186572,ZTF_r,3,4780622,26.3641,0.9871218263213513,0
2459263.9509144,1.807665279362141,5.63179691658917,ZTF_r,3,4780622,26.367,0.9871218263213513,0
2459263.9513889,5.489090520791883,5.443677315558405,ZTF_r,3,4780622,26.3749,0.9871218263213513,0
2459263.9518634,-8.421380501888345,5.752253114381313,ZTF_r,3,4780622,26.3675,0.9871218263213513,0
2459263.9523264,3.0482650608495274,5.376825697777477,ZTF_r,3,4780622,26.3685,0.9871218263213513,0
2459263.9528009,-0.0157586649512389,5.290596702149537,ZTF_r,3,4780622,26.3718,0.9871218263213513,0
2459263.9532639,0.19197209291662506,5.658598930427869,ZTF_r,3,4780622,26.3654,0.9871218263213513,0
2459263.9537384,5.551555553988354,5.292769610841776,ZTF_r,3,4780622,26.3804,0.9871218263213513,0
2459263.954213,-11.905258655146488,5.004163679897443,ZTF_r,3,4780622,26.3706,0.9871218263213513,0
2459263.9546759,-0.7894306299383065,5.1913233890071275,ZTF_r,3,4780622,26.3806,0.9871218263213513,0
2459263.9551505,3.5361284058987783,5.078912490478672,ZTF_r,3,4780622,26.3759,0.9871218263213513,0
2459263.9556134,3.1438126736273566,5.030881376900772,ZTF_r,3,4780622,26.3744,0.9871218263213513,0
2459263.956088,-5.525043545510299,5.104152107202996,ZTF_r,3,4780622,26.3735,0.9871218263213513,0
2459263.9565625,-0.3018571789406217,4.682606347981981,ZTF_r,3,4780622,26.3721,0.9871218263213513,0
2459263.9570255,-9.63806340989949,4.492991561234924,ZTF_r,3,4780622,26.3736,0.9871218263213513,0
2459263.9575,-5.389979278428511,5.015249874964797,ZTF_r,3,4780622,26.3714,0.9871218263213513,0
2459263.9579745,-2.5838820789629877,4.3103879597959365,ZTF_r,3,4780622,26.3652,0.9871218263213513,0
2459263.9584375,-6.32687318293504,4.3213392436842,ZTF_r,3,4780622,26.3724,0.9871218263213513,0
2459264.0206134,-1.2775651374810861,4.255698316976916,ZTF_g,1,4780621,26.3552,1.0,0
2459264.8948727,-3.9145175688315215,5.2930369353492654,ZTF_i,2,4780623,25.8184,0.989422306196904,0
2459265.8588542,-14.818247675811971,6.458182939226048,ZTF_r,1,4780622,26.2953,0.9871218263213513,0
2459265.9207176,0.22927199505031748,3.7344543536236032,ZTF_g,1,4780621,26.3121,1.0,0
2459267.8471991,23.43244508280604,13.343025647982781,ZTF_i,2,4780623,25.7921,0.989422306196904,0
2459267.880081,-12.957592176290271,6.810820625119178,ZTF_g,1,4780621,26.3001,1.0,0
2459267.9211111,1.5020397899620792,4.552480155812058,ZTF_r,1,4780622,26.3688,0.9871218263213513,0
2459269.8951736,-4.15037429617708,4.442632613411246,ZTF_r,1,4780622,26.3357,0.9871218263213513,0
2459269.9576736,-3.8679128778821577,4.507426111795669,ZTF_g,1,4780621,26.3855,1.0,0
2459270.9792477,-1.800510878539304,8.438137499368366,ZTF_i,2,4780623,25.8337,0.989422306196904,0
2459271.9228704,4.079688797441946,10.274725728630829,ZTF_g,1,4780621,26.3446,1.0,0
2459271.9576505,0.1882595887857058,6.633492489579155,ZTF_r,1,4780622,26.3856,0.9871218263213513,0
2459273.8997106,-8.011415915173435,15.123335645783792,ZTF_g,1,4780621,26.2311,1.0,0
2459273.9609144,-7.875765240369376,10.997383179202323,ZTF_r,1,4780622,26.3336,0.9871218263213513,0
2459278.8397222,2.3951266392944843,5.31973546603055,ZTF_g,1,4780621,26.2232,1.0,0
