"obj_id","ra","dec","filter","mjd","snr","instrument_id","instrument_name","ra_unc","dec_unc","origin","id","altdata","created_at","annotations","mag","magerr","magsys","limiting_mag","Delete"
"ZTF22aajijjf","220.41692","3.00674","atlaso","59666.59976","","72","ATLAS","","","None","214442918","","2022-05-12T22:40:44.127392","","","","ab","19.4",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59666.611274","","72","ATLAS","","","None","214442919","","2022-05-12T22:40:44.127420","","","","ab","19.28",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59666.626239","","72","ATLAS","","","None","214442920","","2022-05-12T22:40:44.127436","","","","ab","19.32",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59666.632647","","72","ATLAS","","","None","214442921","","2022-05-12T22:40:44.127451","","","","ab","19.34",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59668.596836","","72","ATLAS","","","None","214442922","","2022-05-12T22:40:44.127467","","","","ab","18.21",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59668.59775","","72","ATLAS","","","None","214442923","","2022-05-12T22:40:44.127482","","","","ab","19.14",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59668.600035","","72","ATLAS","","","None","214442924","","2022-05-12T22:40:44.127497","","","","ab","19.18",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59668.60095","","72","ATLAS","","","None","214442925","","2022-05-12T22:40:44.127511","","","","ab","19.2",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59670.475732","","72","ATLAS","","","None","214442926","","2022-05-12T22:40:44.127528","","","","ab","19.47",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59670.477555","","72","ATLAS","","","None","214442927","","2022-05-12T22:40:44.127545","","","","ab","19.39",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59670.480747","","72","ATLAS","","","None","214442928","","2022-05-12T22:40:44.127561","","","","ab","19.4",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59670.485774","","72","ATLAS","","","None","214442929","","2022-05-12T22:40:44.127576","","","","ab","19.46",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59670.487138","","72","ATLAS","","","None","214442930","","2022-05-12T22:40:44.127591","","","","ab","19.4",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59670.48896","","72","ATLAS","","","None","214442931","","2022-05-12T22:40:44.127606","","","","ab","19.44",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59670.492604","","72","ATLAS","","","None","214442932","","2022-05-12T22:40:44.127620","","","","ab","19.44",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59670.500825","","72","ATLAS","","","None","214442933","","2022-05-12T22:40:44.127635","","","","ab","19.44",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59676.52613","","72","ATLAS","","","None","214442934","","2022-05-12T22:40:44.127650","","","","ab","19.58",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59676.529344","","72","ATLAS","","","None","214442935","","2022-05-12T22:40:44.127665","","","","ab","19.6",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59676.5298","","72","ATLAS","","","None","214442936","","2022-05-12T22:40:44.127679","","","","ab","19.59",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59676.537112","","72","ATLAS","","","None","214442937","","2022-05-12T22:40:44.127694","","","","ab","19.6",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59676.539418","","72","ATLAS","","","None","214442938","","2022-05-12T22:40:44.127708","","","","ab","19.56",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59676.547211","","72","ATLAS","","","None","214442939","","2022-05-12T22:40:44.127723","","","","ab","19.55",""
"ZTF22aajijjf","","","ztfg","59677.31609949982","","1","ZTF","","","None","212882713","","2022-05-08T07:17:38.935014","","","","ab","20.009300231933594",""
"ZTF22aajijjf","","","ztfr","59677.397708300035","","1","ZTF","","","None","212882714","","2022-05-08T07:17:38.935078","","","","ab","20.065399169921875",""
"ZTF22aajijjf","","","ztfr","59677.397708300035","","1","ZTF","","","None","213957110","","2022-05-12T06:42:31.112104","","","","ab","20.065399169921875",""
"ZTF22aajijjf","","","ztfg","59679.31478009978","","1","ZTF","","","None","212882715","","2022-05-08T07:17:38.935095","","","","ab","20.189899444580078",""
"ZTF22aajijjf","","","ztfg","59679.31478009978","","1","ZTF","","","None","213957111","","2022-05-12T06:42:31.112175","","","","ab","20.189899444580078",""
"ZTF22aajijjf","","","ztfr","59679.35913190013","","1","ZTF","","","None","212882716","","2022-05-08T07:17:38.935109","","","","ab","20.362699508666992",""
"ZTF22aajijjf","","","ztfr","59679.35913190013","","1","ZTF","","","None","213957112","","2022-05-12T06:42:31.112196","","","","ab","20.362699508666992",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59680.433375","","72","ATLAS","","","None","214442940","","2022-05-12T22:40:44.127737","","","","ab","18.53",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59680.449038","","72","ATLAS","","","None","214442941","","2022-05-12T22:40:44.127752","","","","ab","18.57",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59680.468413","","72","ATLAS","","","None","214442942","","2022-05-12T22:40:44.127769","","","","ab","18.59",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59680.471611","","72","ATLAS","","","None","214442943","","2022-05-12T22:40:44.127783","","","","ab","18.7",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59680.47481","","72","ATLAS","","","None","214442944","","2022-05-12T22:40:44.127798","","","","ab","18.6",""
"ZTF22aajijjf","","","ztfi","59682.26336809993","","1","ZTF","","","None","213932518","","2022-05-12T05:55:44.150336","","","","ab","19.173200607299805",""
"ZTF22aajijjf","","","ztfi","59682.26336809993","","1","ZTF","","","None","213957113","","2022-05-12T06:42:31.112212","","","","ab","19.173200607299805",""
"ZTF22aajijjf","","","ztfr","59682.33759259991","","1","ZTF","","","None","212882717","","2022-05-08T07:17:38.935122","","","","ab","19.6387996673584",""
"ZTF22aajijjf","","","ztfr","59682.33759259991","","1","ZTF","","","None","213957114","","2022-05-12T06:42:31.112227","","","","ab","19.6387996673584",""
"ZTF22aajijjf","","","ztfg","59682.39490740001","","1","ZTF","","","None","212882718","","2022-05-08T07:17:38.935135","","","","ab","19.52039909362793",""
"ZTF22aajijjf","","","ztfg","59682.39490740001","","1","ZTF","","","None","213957115","","2022-05-12T06:42:31.112241","","","","ab","19.52039909362793",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59682.441925","","72","ATLAS","","","None","214442945","","2022-05-12T22:40:44.127817","","","","ab","18.9",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59682.446081","","72","ATLAS","","","None","214442946","","2022-05-12T22:40:44.127833","","","","ab","18.83",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59682.451106","","72","ATLAS","","","None","214442947","","2022-05-12T22:40:44.127849","","","","ab","18.86",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59682.464853","","72","ATLAS","","","None","214442948","","2022-05-12T22:40:44.127865","","","","ab","18.59",""
"ZTF22aajijjf","","","ztfg","59684.29966440005","","1","ZTF","","","None","212882719","","2022-05-08T07:17:38.935148","","","","ab","18.974899291992188",""
"ZTF22aajijjf","","","ztfg","59684.29966440005","","1","ZTF","","","None","213957116","","2022-05-12T06:42:31.112256","","","","ab","18.974899291992188",""
"ZTF22aajijjf","","","ztfr","59684.37880790001","","1","ZTF","","","None","212882720","","2022-05-08T07:17:38.935160","","","","ab","19.44260025024414",""
"ZTF22aajijjf","","","ztfr","59684.37880790001","","1","ZTF","","","None","213957117","","2022-05-12T06:42:31.112270","","","","ab","19.44260025024414",""
"ZTF22aajijjf","","","ztfi","59685.30006940011","","1","ZTF","","","None","213932519","","2022-05-12T05:55:44.150400","","","","ab","18.613500595092773",""
"ZTF22aajijjf","","","ztfi","59685.30006940011","","1","ZTF","","","None","213957118","","2022-05-12T06:42:31.112284","","","","ab","18.613500595092773",""
"ZTF22aajijjf","","","ztfr","59687.38856479991","","1","ZTF","","","None","212882721","","2022-05-08T07:17:38.935172","","","","ab","19.149700164794922",""
"ZTF22aajijjf","","","ztfr","59687.38856479991","","1","ZTF","","","None","213957119","","2022-05-12T06:42:31.112305","","","","ab","19.149700164794922",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59688.506983","","72","ATLAS","","","None","214442949","","2022-05-12T22:40:44.127879","","","","ab","18.37",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59688.510183","","72","ATLAS","","","None","214442950","","2022-05-12T22:40:44.127895","","","","ab","18.36",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59688.538347","","72","ATLAS","","","None","214442951","","2022-05-12T22:40:44.127910","","","","ab","18.36",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59688.546929","","72","ATLAS","","","None","214442952","","2022-05-12T22:40:44.127926","","","","ab","18.35",""
"ZTF22aajijjf","","","ztfi","59690.37703699991","","1","ZTF","","","None","213932520","","2022-05-12T05:55:44.150438","","","","ab","19.539600372314453",""
"ZTF22aajijjf","","","ztfi","59690.37703699991","","1","ZTF","","","None","213957120","","2022-05-12T06:42:31.112320","","","","ab","19.539600372314453",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59690.468757","","72","ATLAS","","","None","214442953","","2022-05-12T22:40:44.127940","","","","ab","19.06",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59690.502072","","72","ATLAS","","","None","214442954","","2022-05-12T22:40:44.127955","","","","ab","19.05",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59690.505905","","72","ATLAS","","","None","214442955","","2022-05-12T22:40:44.127971","","","","ab","19.05",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59690.513251","","72","ATLAS","","","None","214442956","","2022-05-12T22:40:44.127986","","","","ab","19.04",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59692.467634","","72","ATLAS","","","None","214442957","","2022-05-12T22:40:44.128002","","","","ab","19.14",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59692.470832","","72","ATLAS","","","None","214442958","","2022-05-12T22:40:44.128017","","","","ab","19.22",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59692.475871","","72","ATLAS","","","None","214442959","","2022-05-12T22:40:44.128037","","","","ab","18.71",""
"ZTF22aajijjf","220.41692","3.00674","atlasc","59692.479068","","72","ATLAS","","","None","214442960","","2022-05-12T22:40:44.128053","","","","ab","18.54",""
"ZTF22aajijjf","","","ztfg","59693.4198264","","1","ZTF","","","None","212882722","","2022-05-08T07:17:38.935185","","","","ab","20.136600494384766",""
"ZTF22aajijjf","","","ztfg","59693.4198264","","1","ZTF","","","None","213957121","","2022-05-12T06:42:31.112334","","","","ab","20.136600494384766",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59694.483664","","72","ATLAS","","","None","214442961","","2022-05-12T22:40:44.128069","","","","ab","19.27",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59694.487398","","72","ATLAS","","","None","214442962","","2022-05-12T22:40:44.128084","","","","ab","19.32",""
"ZTF22aajijjf","220.41692","3.00674","atlaso","59694.519283","","72","ATLAS","","","None","214442963","","2022-05-12T22:40:44.128099","","","","ab","19.29",""
